sensors:	temp	motion	door	keychain
devices:	bulb	outlet
states:	5	Detected	Closed	Authenticated	ON	OFF
history
timestamp	sensor/device	value	comment
1553474164971	BULB	OFF	 	
1553474164972	OUTLET	OFF	 	
1553474164973	BULB	ON	 	
1553474164974	OUTLET	ON	 	
1553474166079	MOTION	Detected	 	
1553474168079	MOTION	Detected	 	
1553474168078	BULB	OFF	 	
1553474168080	BULB	ON	 	
1553474170079	MOTION	Detected	 	
1553474171079	MOTION	Detected	 	
1553474171080	DOOR	Open	User left the house.	
1553474172082	BULB	OFF	 	
1553474172084	DOOR	Closed	 	
1553474174981	OUTLET	OFF	 	
1553474188085	KEY	Authenticated	 	
1553474188087	DOOR	Open	 	
1553474189088	BULB	ON	 	
1553474189090	DOOR	Closed	 	
1553474191089	BULB	OFF	 	
1553474191091	MOTION	Detected	User entered the house.	
1553474191090	BULB	ON	 	
1553474192091	MOTION	Detected	 	
1553474193091	MOTION	Detected	 	
1553474194985	OUTLET	ON	 	
1553474195090	MOTION	Detected	 	
1553474196090	MOTION	Detected	 	
1553474197090	MOTION	Detected	 	
1553474197090	DOOR	Open	User left the house.	
1553474198090	MOTION	Detected	User entered the house.	
1553474198092	BULB	OFF	 	
1553474198093	DOOR	Closed	 	
1553474199987	OUTLET	OFF	 	
1553474214095	DOOR	Open	 	
1553474215097	DOOR	Closed	 	
1553474216099	MOTION	Detected	User entered the house.	
1553474218099	MOTION	Detected	 	
1553474223099	MOTION	Detected	 	
1553474225099	MOTION	Detected	 	
1553474226099	MOTION	Detected	 	
1553474230099	MOTION	Detected	 	
1553474233099	MOTION	Detected	 	
1553474234099	MOTION	Detected	 	
1553474236098	MOTION	Detected	 	
1553474239098	MOTION	Detected	 	
1553474239098	DOOR	Open	User left the house.	
1553474240098	MOTION	Detected	User entered the house.	
1553474240099	DOOR	Closed	 	
1553474241101	MOTION	Detected	User entered the house.	
1553474242101	MOTION	Detected	 	
1553474243101	MOTION	Detected	 	
1553474244101	MOTION	Detected	 	
1553474245102	MOTION	Detected	 	
1553474246102	MOTION	Detected	 	
1553474247102	MOTION	Detected	 	
1553474248102	KEY	Authenticated	 	
1553474248102	MOTION	Detected	 	
1553474248103	DOOR	Open	User left the house.	
1553474249102	MOTION	Detected	User entered the house.	
1553474249104	BULB	ON	 	
1553474249106	DOOR	Closed	 	
1553474250108	MOTION	Detected	User entered the house.	
1553474252108	MOTION	Detected	 	
1553474254107	BULB	OFF	 	
1553474256107	MOTION	Detected	 	
1553474256107	BULB	ON	 	
1553474257107	DOOR	Open	User left the house.	
1553474257107	MOTION	Detected	User entered the house.	
1553474258110	BULB	OFF	 	
1553474258111	DOOR	Closed	 	
1553474266112	KEY	Authenticated	 	
1553474266114	DOOR	Open	 	
1553474267115	BULB	ON	 	
1553474267117	DOOR	Closed	 	
1553474268118	MOTION	Detected	User entered the house.	
1553474269999	OUTLET	ON	 	
1553474270118	BULB	OFF	 	
